rep,Method,Item,Accuracy
6,Iterative MCA (2 dims),Feeling of guilt,0.3684210526315789
6,Iterative MCA (2 dims),Problems of bonding with baby,0.35
7,Marginal sampling,Age,0.36
7,Marginal sampling,Feeling sad or Tearful,0.5238095238095238
7,Marginal sampling,Irritable towards baby & partner,0.21052631578947367
7,Marginal sampling,Trouble sleeping at night,0.35294117647058826
7,Marginal sampling,Problems concentrating or making decision,0.3333333333333333
7,Marginal sampling,Overeating or loss of appetite,0.36363636363636365
7,Marginal sampling,Feeling anxious,0.6206896551724138
7,Marginal sampling,Feeling of guilt,0.25925925925925924
7,Marginal sampling,Problems of bonding with baby,0.47619047619047616
7,Mode,Age,0.16
7,Mode,Feeling sad or Tearful,0.6190476190476191
7,Mode,Irritable towards baby & partner,0.5789473684210527
7,Mode,Trouble sleeping at night,0.35294117647058826
7,Mode,Problems concentrating or making decision,0.375
7,Mode,Overeating or loss of appetite,0.6363636363636364
7,Mode,Feeling anxious,0.7241379310344828
7,Mode,Feeling of guilt,0.2962962962962963
7,Mode,Problems of bonding with baby,0.42857142857142855
7,"KNN (Hamming, k=7)",Age,0.16
7,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.42857142857142855
7,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.5789473684210527
7,"KNN (Hamming, k=7)",Trouble sleeping at night,0.5882352941176471
7,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.5416666666666666
7,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.5909090909090909
7,"KNN (Hamming, k=7)",Feeling anxious,0.7931034482758621
7,"KNN (Hamming, k=7)",Feeling of guilt,0.4444444444444444
7,"KNN (Hamming, k=7)",Problems of bonding with baby,0.5714285714285714
7,MICE (logistic),Age,0.28
7,MICE (logistic),Feeling sad or Tearful,0.5714285714285714
7,MICE (logistic),Irritable towards baby & partner,0.5789473684210527
7,MICE (logistic),Trouble sleeping at night,0.47058823529411764
7,MICE (logistic),Problems concentrating or making decision,0.5
7,MICE (logistic),Overeating or loss of appetite,0.6818181818181818
7,MICE (logistic),Feeling anxious,0.7241379310344828
7,MICE (logistic),Feeling of guilt,0.4074074074074074
7,MICE (logistic),Problems of bonding with baby,0.38095238095238093
7,MICE (random forest),Age,0.12
7,MICE (random forest),Feeling sad or Tearful,0.5238095238095238
7,MICE (random forest),Irritable towards baby & partner,0.47368421052631576
7,MICE (random forest),Trouble sleeping at night,0.5294117647058824
